DISK version 1
237.372
51
-33.384	16.2532	35.7658	
3.39568	49.5662	13.8578	
-23.8772	74.0036	22.762	
-43.9596	-26.681	8.45176	
-31.5672	-37.3088	6.01942	
-47.1502	-71.9364	31.953	
-56.2232	-18.8394	6.10462	
-56.1348	-34.8474	6.20862	
7.37598	70.8896	7.83398	
-137.053	107.579	30.927	
-69.0192	-39.2216	7.39804	
63.5782	-35.2868	28.9014	
-65.9228	-26.1462	6.03906	
-78.0006	-28.8338	6.33416	
-44.0182	125.312	32.3582	
-77.9712	-49.4532	6.19696	
-67.4582	-14.1256	6.07916	
-117.004	-70.0284	37.927	
-34.1916	-124.197	21.8898	
36.0482	-64.6546	11.3522	
-91.6346	149.995	21.2754	
3.95176	-149.082	23.6534	
111.956	-11.8413	24.8582	
48.6354	-85.098	12.6554	
55.2634	-132.954	30.1332	
-85.1774	-39.2374	6.3047	
-79.1592	-92.3302	6.00052	
126.028	15.6216	6.00038	
72.37	-76.0098	12.7598	
-62.5698	164.961	11.416	
149.603	9.418	18.3768	
-129.603	154.936	17.0131	
147.565	-20.735	11.8449	
104.22	-50.3844	14.4537	
-102.417	-27.9156	6.00124	
-110.554	186.915	20.2094	
-43.4122	-176.2	30.9244	
131.671	27.187	6.86796	
82.511	-94.7282	8.52916	
-78.3804	175.859	7.78684	
121.772	-119.266	37.769	
86.8924	-61.2744	6.01144	
90.5124	-82.137	6.38936	
-84.3686	188.291	6.01186	
-96.6468	-109.125	6.15242	
-66.2632	-117.528	6.32496	
-14.242	101.115	6.01036	
-114.387	-26.0688	6.11048	
94.7282	-70.4382	6.04572	
90.7472	-166.199	18.4915	
-65.4754	-135.062	11.2271	
